Resource title,Resource URL,Government supports/external,Tag 1,Tag 2,Tag 3,Tag 4,Priority
Canadian Anti-Fraud centre,https://antifraudcentre-centreantifraude.ca/,Government supports,Safety,Financial information and supports,,,
Emergency preparedness,https://www.ontario.ca/document/guide-programs-and-services-seniors/safety-and-security,Government supports,Safety,,,,
Elder abuse,https://www.ontario.ca/page/information-about-elder-abuse,Government supports,Safety,Caregiving,Mental health,,Yes
Elder Abuse Prevention Ontario (EAPO),https://eapon.ca/,External,Safety,Caregiving,Education and lifelong learning,,
Seniors Safety Line,https://eapon.ca/,External,Safety,Caregiving,Mental health,,Yes
Action ontarienne contre la violence faite aux femmes (AOcVF),https://aocvf.ca/english/,External,Safety,Francophone supports ,,,
Bringing an Awareness of Senior Safety Issues to the Community (BASSIC),http://www.bassic.ca/,External,Safety,Education and lifelong learning,,,
Fire safety,https://www.ontario.ca/page/fire-prevention-and-protection,Government supports,Safety,,,,
SG Chapter: Legal matters,,,,,,,
Meeting your legal needs - the Law Society of Ontario,https://www.lso.ca/home,External,Legal support,End of Life decisions,Safety,,Yes
Law society referral service,https://lso.ca/public-resources/finding-a-lawyer-or-paralegal/law-society-referral-service?lang=en-ca,External,Legal support,,,,
Legal Aid Ontario,https://www.legalaid.on.ca/,External,Legal support,Mental health,,,
Advocacy Centre for the Elderly (ACE),https://www.advocacycentreelderly.org/,External,Legal support,Financial information and supports,Safety,End of Life decisions,
Community Legal Education Ontario (CLEO),https://www.cleo.on.ca/en,External,Legal support,,,,
ARCH Disability Law Centre,https://archdisabilitylaw.ca/,External,Legal support,End of Life decisions,,,
HIV & AIDS Legal Clinic Ontario (HALCO),https://www.halco.org/,External,Legal support,Education and lifelong learning,,,
Ontario Human Rights Code,https://www.ohrc.on.ca/en/ontario-human-rights-code,Government supports,Legal support,Education and lifelong learning,,,
Office of the Public Guardian and Trustee,https://www.ontario.ca/page/office-public-guardian-and-trustee,Government supports,Legal support,End of Life decisions,Financial information and supports,Safety,
Power of Attorney,https://www.ontario.ca/page/make-power-attorney,Government supports,Legal support,End of Life decisions,Financial information and supports,Caregiving,Yes
Advance care planning,https://www.ontario.ca/document/guide-programs-and-services-seniors/legal-matters,Government supports,End of Life decisions,Legal support,Safety,Caregiving,
Organ and tissue donation,https://www.ontario.ca/document/guide-programs-and-services-seniors/legal-matters,Government supports,End of Life decisions,Legal support,,,
SG Chapter: End of life,,,,,,,
"Funerals, burials and cremations",https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,Financial information and supports,,,
Bereaved Families of Ontario,https://bereavedfamilies.net/,External,End of Life decisions,Activities and social connections,Mental health,Caregiving,
Wills and estates,https://www.ontario.ca/page/administering-estates,Government supports,Legal support,End of Life decisions,Financial information and supports,,Yes
Death out of country,https://travel.gc.ca/assistance/emergency-assistance,Government supports,Legal support,End of Life decisions,Caregiving,,
Death registration and certificate,https://www.ontario.ca/page/how-get-copy-ontario-death-certificate-online,Government supports,End of Life decisions,Caregiving,,,
Pensions and benefits as they relate to the deceased person,https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,Pension,Financial information and supports,,
Income taxes for the deceased: What to do when someone has died,https://www.canada.ca/en/revenue-agency/services/tax/individuals/life-events/what-when-someone-died.html,Government supports,End of Life decisions,Legal support,Financial information and supports,,
How to contact banks and credit card companies of the deceased person,https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,Financial information and supports,,,
How to contact government cards and registries that apply to the deceased person,https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,,,,
Vehicles of the deceased person,https://www.ontario.ca/page/what-do-when-someone-dies,Government supports,End of Life decisions,,,,
Property of the deceased person,https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,,,,
"Clubs, organizations, services and professional associations of the deceased person",https://www.ontario.ca/document/guide-programs-and-services-seniors/end-life,Government supports,End of Life decisions,,,,
Last Post Fund on behalf of Veterans Affairs Canada,https://www.lastpostfund.ca/,External,End of Life decisions,Veteran supports ,,,
SG Chapter: Transportation,,,,,,,
Courses for mature drivers,https://canadasafetycouncil.org/,External,Driving and transportation,Education and lifelong learning,,,
CAA’s senior driving,https://www.caa.ca/driving-safely/senior-drivers/,External,Driving and transportation,Education and lifelong learning,,,
Driver’s licence renewal,https://www.ontario.ca/document/guide-programs-and-services-seniors/transportation,Government supports,Driving and transportation,,,,
Senior driver renewal program,https://www.ontario.ca/page/renew-g-drivers-licence-80-years-and-over,Government supports,Driving and transportation,,,,Yes
Driver Examination Centres,https://drivetest.ca/,Government supports,Driving and transportation,,,,
Accessible parking permit,https://www.ontario.ca/page/get-accessible-parking-permit,Government supports,Driving and transportation,,,,Yes
Alternatives to driving,https://www.ontario.ca/document/guide-programs-and-services-seniors/transportation,Government supports,Driving and transportation,,,,
Used vehicle information package (UVIP),https://www.ontario.ca/page/used-vehicle-information-package,Government supports,Driving and transportation,,,,
Public transportation,https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA..,Government supports,Driving and transportation,Caregiving,,,
Volunteer drivers,https://www.ontario.ca/document/guide-programs-and-services-seniors/transportation,Government supports,Driving and transportation,,,,
GO Transit,https://www.gotransit.com/,External,Driving and transportation,,,,
Veteran graphic licence plate,https://www.ontario.ca/document/guide-programs-and-services-seniors/transportation,Government supports,Driving and transportation,Veteran supports ,,,
